id,user_id,roll_number,registration_no,name,section,batch_year,current_semester,current_cgpa,overall_attendance,aadhar_no,apar_id,phone,aishe_id,github_url,leetcode_url,linkedin_url,resume_url,avatar_url
621a9c6d-e226-4ff0-a22c-2e72a6a48abe,eb6efcdf-a27a-41ae-ac60-e71c92f6e8f1,23ESKCS001,REG20260001,Sneha Chaudhary,A,2025-2029,2,7.42,84.5,993342331453,APAR-2026-00001,+91-6126855092,AISHE-46913810,https://github.com/sneha1,https://leetcode.com/sneha1,https://linkedin.com/in/sneha1-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS001.pdf,https://api.dicebear.com/7.x/initials/svg?seed=sneha1
34e502c2-fa06-4e5b-afef-98abbff7cfce,f18ec7ae-f847-466c-8f7b-2f922493fb4e,23ESKCS002,REG20260002,Harsh Rathore,E,2023-2027,6,5.64,71.9,992801823917,APAR-2026-00002,+91-7339670711,AISHE-28728463,https://github.com/harsh2,https://leetcode.com/harsh2,https://linkedin.com/in/harsh2-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS002.pdf,https://api.dicebear.com/7.x/initials/svg?seed=harsh2
2c3d1809-b161-465f-9647-776b20a08b71,43c801d1-65ba-45e3-b41a-934c108f04a7,23ESKCS003,REG20260003,Bhavya Verma,D,2025-2029,2,7.25,86.0,998574149623,APAR-2026-00003,+91-6826600539,AISHE-83197857,https://github.com/bhavya3,https://leetcode.com/bhavya3,https://linkedin.com/in/bhavya3-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS003.pdf,https://api.dicebear.com/7.x/initials/svg?seed=bhavya3
60f7d907-739c-4a83-b7a5-e0c7c2f8c831,dc86467e-98bc-4229-8908-e3177de9da0a,23ESKCS004,REG20260004,Manish Singhal,C,2023-2027,6,7.21,65.0,992625792796,APAR-2026-00004,+91-6734036506,AISHE-66629388,https://github.com/manish4,https://leetcode.com/manish4,https://linkedin.com/in/manish4-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS004.pdf,https://api.dicebear.com/7.x/initials/svg?seed=manish4
3b41dfe4-59c5-4f15-ade6-d306f55f22f9,ef1413b5-1d6f-4e54-b461-a71ad20c3152,23ESKCS005,REG20260005,Sanjay Gupta,A,2023-2027,6,6.31,62.4,995231494229,APAR-2026-00005,+91-6131994523,AISHE-22575562,https://github.com/sanjay5,https://leetcode.com/sanjay5,https://linkedin.com/in/sanjay5-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS005.pdf,https://api.dicebear.com/7.x/initials/svg?seed=sanjay5
b59261e4-5561-4347-b2fe-b2d57d216e4e,fa29de1c-3da0-4567-a732-ce74224b1eb1,23ESKCS006,REG20260006,Mehak Dhankar,C,2025-2029,2,7.64,86.9,993783290804,APAR-2026-00006,+91-7349817734,AISHE-77827638,https://github.com/mehak6,https://leetcode.com/mehak6,https://linkedin.com/in/mehak6-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS006.pdf,https://api.dicebear.com/7.x/initials/svg?seed=mehak6
4b13df1a-81b9-4031-8a44-e4a93d035ee6,52efe35b-b702-43fc-957a-dbd1fb98a2cf,23ESKCS007,REG20260007,Bhavya Pandey,D,2025-2029,2,9.11,77.5,993392080962,APAR-2026-00007,+91-6702632297,AISHE-36687537,https://github.com/bhavya7,https://leetcode.com/bhavya7,https://linkedin.com/in/bhavya7-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS007.pdf,https://api.dicebear.com/7.x/initials/svg?seed=bhavya7
c7dc9f61-161f-406d-b9de-82b00c1645ad,c64d9c3d-99b9-4b1c-a05a-664ef5fed7c1,23ESKCS008,REG20260008,Harsh Bansal,C,2026-2030,1,7.31,86.0,992351531232,APAR-2026-00008,+91-9336696312,AISHE-70291817,https://github.com/harsh8,https://leetcode.com/harsh8,https://linkedin.com/in/harsh8-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS008.pdf,https://api.dicebear.com/7.x/initials/svg?seed=harsh8
5041cb6b-2d2d-43cc-9b2a-623e3d68809a,1297d1a3-3fbe-4877-bb14-249409975249,23ESKCS009,REG20260009,Pranav Deshmukh,C,2024-2028,4,7.43,92.6,997805745026,APAR-2026-00009,+91-8969119330,AISHE-10872248,https://github.com/pranav9,https://leetcode.com/pranav9,https://linkedin.com/in/pranav9-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS009.pdf,https://api.dicebear.com/7.x/initials/svg?seed=pranav9
205ab441-ba97-4d3e-94c9-31da22e5306f,d4a6bcf5-4624-4877-84e7-5a3f5fd86641,23ESKCS010,REG20260010,Arjun Rathore,D,2023-2027,6,7.49,56.7,998217611869,APAR-2026-00010,+91-7849621470,AISHE-66722344,https://github.com/arjun10,https://leetcode.com/arjun10,https://linkedin.com/in/arjun10-skit,https://uei-resumes.s3.amazonaws.com/23ESKCS010.pdf,https://api.dicebear.com/7.x/initials/svg?seed=arjun10
